event,fighter_1,fighter_2,result,event_id,cc_match,fighter_1_elo_start,fighter_2_elo_start,fighter_1_elo_end,fighter_2_elo_end
UFC 1: The Beginning,Gerard Gordeau,Teila Tuli,win,1,1,1000.0,1000.0,1020.0,980.0
UFC 1: The Beginning,Kevin Rosier,Zane Frazier,win,1,2,1000.0,1000.0,1020.0,980.0
UFC 1: The Beginning,Royce Gracie,Art Jimmerson,win,1,3,1000.0,1000.0,1020.0,980.0
UFC 1: The Beginning,Ken Shamrock,Patrick Smith,win,1,4,1000.0,1000.0,1020.0,980.0
UFC 1: The Beginning,Gerard Gordeau,Kevin Rosier,win,1,5,1020.0,1020.0,1040.0,1000.0
UFC 1: The Beginning,Royce Gracie,Ken Shamrock,win,1,6,1020.0,1020.0,1040.0,1000.0
UFC 1: The Beginning,Jason DeLucia,Trent Jenkins,win,1,7,1000.0,1000.0,1020.0,980.0
UFC 1: The Beginning,Royce Gracie,Gerard Gordeau,win,1,8,1040.0,1040.0,1060.0,1020.0
UFC 2: No Way Out,Scott Morris,Sean Daugherty,win,2,9,1000.0,1000.0,1020.0,980.0
UFC 2: No Way Out,Patrick Smith,Ray Wizard,win,2,10,980.0,1000.0,1001.15,978.85
UFC 2: No Way Out,Johnny Rhodes,David Levicki,win,2,11,1000.0,1000.0,1020.0,980.0
UFC 2: No Way Out,Frank Hamaker,Thaddeus Luster,win,2,12,1000.0,1000.0,1020.0,980.0
UFC 2: No Way Out,Orlando Wiet,Robert Lucarelli,win,2,13,1000.0,1000.0,1020.0,980.0
UFC 2: No Way Out,Remco Pardoel,Alberta Cerra Leon,win,2,14,1000.0,1000.0,1020.0,980.0
UFC 2: No Way Out,Jason DeLucia,Scott Baker,win,2,15,1020.0,1000.0,1038.85,981.15
UFC 2: No Way Out,Royce Gracie,Minoki Ichihara,win,2,16,1060.0,1000.0,1076.58,983.42
UFC 2: No Way Out,Patrick Smith,Scott Morris,win,2,17,1001.15,1020.0,1022.23,998.92
UFC 2: No Way Out,Johnny Rhodes,Fred Ettish,win,2,18,1020.0,1000.0,1038.85,981.15
UFC 2: No Way Out,Remco Pardoel,Orlando Wiet,win,2,19,1020.0,1020.0,1040.0,1000.0
UFC 2: No Way Out,Royce Gracie,Jason DeLucia,win,2,20,1076.58,1038.85,1094.42,1021.01
